id,tipo_placa,placa,tipo_contrato,carroceria_id,autobusero_id,activo,observaciones
307,PUBLI,2926,2,68,648,1,
308,PUBLI,2711,2,23,650,1,
309,PUBLI,2927,2,68,648,1,
310,CB,2706,2,13,648,1,
311,CB,2704,2,13,648,1,
312,HB,3621,2,60,663,1,
313,HB,3806,2,65,663,0,No pertenece a Publimedia
314,PUBLI,2505,1,2,648,1,
315,SJB,15221,1,60,617,1,
316,SJB,14176,1,18,617,1,
317,SJB,14851,1,60,617,1,
318,SJB,15219,1,60,617,1,
319,SJB,14548,1,40,633,1,
320,PUBLI,6320,0,25,623,1,
321,GB,2088,2,2,661,1,
322,HB,2379,2,64,661,1,
323,PUBLI,1251,2,12,651,1,
324,PUBLI,1248,2,9,651,1,
325,PUBLI,1507,2,67,651,1,
326,SJB,8764,1,7,648,1,
327,SJB,15457,1,74,624,1,
328,SJB,15453,1,74,624,1,
329,SJB,15456,1,74,624,1,
330,SJB,15459,1,74,624,1,
331,SJB,15458,1,74,624,1,
332,SJB,15454,1,74,624,1,
333,SJB,15562,1,74,624,1,
334,SJB,15563,1,74,624,1,
335,SJB,15564,1,74,624,1,
336,CB,2868,1,65,629,1,
337,CB,2869,1,65,629,1,
338,CB,2870,1,65,629,1,
339,CB,2844,1,65,629,1,
340,AB,3757,2,12,659,1,
341,PUBLI,12670,2,29,656,1,
342,LB,1283,1,1,651,1,
343,CB,2837,1,76,642,1,
344,CB,2838,1,76,642,1,
345,CB,2839,1,76,642,1,
346,CB,2840,1,76,642,1,
347,CB,2256,1,33,642,1,
348,CB,2257,1,33,642,1,
349,CB,2677,1,13,642,1,
350,AB,5854,1,22,662,1,
351,SJB,14216,2,20,621,0,
352,SJB,14564,2,60,621,0,
353,SJB,14244,0,20,621,1,
354,AB,7054,1,76,635,1,
355,AB,6802,0,76,635,1,
356,SJB,11603,2,23,633,1,
357,SJB,14409,1,25,648,1,
358,SJB,14125,1,40,635,1,
359,LB,2005,2,13,651,1,
360,SJB,11141,1,12,617,1,
361,SJB,14175,1,18,617,1,
362,SJB,12850,2,13,617,1,
363,LB,2063,1,69,651,1,
364,PUBLI,1129,2,78,651,1,
365,AB,5447,0,36,635,1,
366,SJB,11034,0,32,656,1,
367,SJB,14484,0,65,644,1,
368,SJB,14228,2,55,656,1,
369,CB,2705,0,13,648,1,
370,AB,3555,2,37,660,1,
371,PUBLI,6470,1,13,635,1,
372,CB,2290,1,33,642,1,
373,SJB,12726,0,86,635,1,
374,SJB,12720,2,86,635,1,
375,AB,6888,1,44,635,1,
376,SJB,15831,0,69,639,1,
377,AB,6021,0,28,662,1,
378,CB,1807,0,21,629,1,
379,LB,1808,0,21,629,1,
380,PUBLI,6831,2,69,660,1,
381,PUBLI,2637,2,64,646,1,
382,SJB,13910,1,25,623,1,
383,SJB,14211,1,23,644,1,
384,SJB,14219,1,23,644,1,
385,SJB,15832,0,69,639,1,
386,SJB,15969,0,69,639,1,
387,SJB,15971,0,69,639,1,
388,PUBLI,2220,2,2,661,1,
389,PUBLI,9724,0,3,661,1,
390,SJB,16033,0,89,617,1,
391,SJB,16034,2,89,617,1,
392,SJB,14236,1,20,626,0,Solo para lateral
393,LB,1655,0,13,651,1,
394,SJB,16015,0,90,641,1,
395,SJB,15376,0,53,656,1,
396,PUBLI,9376,0,37,656,1,
397,SJB,15375,0,53,656,1,
398,SJB,10555,2,32,656,1,
399,PB,1657,0,13,651,1,
400,PUBLI,8376,0,36,656,1,
401,SJB,16050,0,68,639,1,
402,SJB,16248,0,76,627,1,
403,SJB,16249,0,76,627,1,
404,SJB,16251,0,76,627,1,
405,SJB,16252,0,76,627,1,
406,SJB,16040,1,89,617,1,
407,SJB,15883,0,60,617,1,
408,SJB,15884,2,60,617,1,
409,AB,6468,0,13,635,1,
410,SJB,11066,2,20,618,1,
411,LB,1787,2,52,651,1,
412,LB,1656,0,52,651,1,
413,SJB,12137,1,33,656,1,
414,PUBLI,1281,0,1,651,1,
415,CB,2624,0,40,646,1,
416,SJB,11037,2,32,656,1,
417,AB,3381,0,37,660,1,
